ChEBI-ID	Name	ChEBI-ID Parents
CHEBI:48775	Cd(2+)	CHEBI:60240,CHEBI:25213
CHEBI:29108	Ca(2+)	CHEBI:60240,CHEBI:25213
CHEBI:48828	Co(2+)	CHEBI:60240,CHEBI:25213
CHEBI:49415	Co(3+)	CHEBI:25213
CHEBI:23378	Cu cation	CHEBI:25213
CHEBI:49552	Cu(+)	CHEBI:23378,CHEBI:25213
CHEBI:29036	Cu(2+)	CHEBI:23378,CHEBI:60240,CHEBI:25213
CHEBI:60240	a divalent metal cation	CHEBI:25213
CHEBI:190135	[2Fe-2S] cluster	CHEBI:30408
CHEBI:24875	Fe cation	CHEBI:25213
CHEBI:29033	Fe(2+)	CHEBI:24875,CHEBI:60240,CHEBI:25213
CHEBI:29034	Fe(3+)	CHEBI:24875,CHEBI:25213
CHEBI:30408	iron-sulfur cluster	
CHEBI:49713	Li(+)	CHEBI:25213
CHEBI:18420	Mg(2+)	CHEBI:60240,CHEBI:25213
CHEBI:29035	Mn(2+)	CHEBI:60240,CHEBI:25213
CHEBI:16793	Hg(2+)	CHEBI:60240,CHEBI:25213
CHEBI:49786	Ni(2+)	CHEBI:60240,CHEBI:25213
CHEBI:60400	[Ni-Fe-S] cluster	CHEBI:30408
CHEBI:47739	[Ni-4Fe-4S] cluster	CHEBI:60400,CHEBI:30408
CHEBI:29103	K(+)	CHEBI:25213
CHEBI:29101	Na(+)	CHEBI:25213
CHEBI:49883	[4Fe-4S] cluster	CHEBI:30408
CHEBI:21137	[3Fe-4S] cluster	CHEBI:30408
CHEBI:29105	Zn(2+)	CHEBI:60240,CHEBI:25213
CHEBI:177874	[Ni-4Fe-5S] cluster	CHEBI:60400,CHEBI:30408
CHEBI:21143	[8Fe-7S] cluster	CHEBI:30408
CHEBI:60504	[8Fe-9S-C-homocitryl] cluster	CHEBI:30408
CHEBI:25213	a metal cation	